Tier,Question,Target_Tag,Hit,Answer,Sources,Latency
1,What physical quantity is the controller changing (the actuator variable) in the liquid-lens autofocus setup?,liquid lenses,True,The controller is changing the voltage applied to the liquid lens [Precision autofocus in optical microscopy with liquid lenses controlled by deep reinforcement learning | Effect of actions on autofocus performance].,precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | autofocus: ai-driven alignment of nanofocusing x-r...,22.07
1,Which classic search methods are used as baselines in the DRL autofocus paper?,autofocus,True,The classic search methods used as baselines in the DRL autofocus paper are golden section search-based [Precision autofocus in optical microscopy with liquid lenses controlled by deep reinforcement learning | Autofocus experiment] and Fibonacci search-based methods [Precision autofocus in optical microscopy with liquid lenses controlled by deep reinforcement learning | Autofocus experiment].,precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | precision autofocus in optical microscopy with liq... | autofocus: ai-driven alignment of nanofocusing x-r...,20.96
1,What is the main objective of 'adaptive scanning' compared to a fixed raster grid in ptychography?,ptychography,True,"The main objective of 'adaptive scanning' compared to a fixed raster grid in ptychography is to lower the dose required for an electron ptychographic reconstruction by adaptively scanning the specimen, thereby providing the required spatial information redundancy in the regions of highest importance [Deep reinforcement learning for data-driven adaptive scanning in ptychography | Conclusion].",deep reinforcement learning for data-driven adapti... | deep reinforcement learning for data-driven adapti... | deep reinforcement learning for data-driven adapti... | deep reinforcement learning for data-driven adapti... | deep reinforcement learning for data-driven adapti...,21.84
1,What does the metric QSSIM represent in the ptychography evaluation?,ptychography,True,The metric QSSIM represents the quality of the ptychographic reconstruction based on Structural Similarity Index Measure (SSIM) [Deep reinforcement learning for data-driven adaptive scanning in ptychography | Methods].,deep reinforcement learning for data-driven adapti... | a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | deep reinforcement learning for data-driven adapti... | a general bayesian algorithm for the autonomous al...,12.66
1,What are the discrete actions available to the agent (action space) in the DQN beam alignment paper?,alignment,True,"Based on the provided context, here are the discrete actions available to the agent in the DQN beam alignment paper:

- ""The agent can choose any of the four actions during the interaction with the model."" [Deep reinforcement learning for self-tuning laser source of dissipative solitons | Deep Q-learning algorithm]",a general bayesian algorithm for the autonomous al... | autofocus: ai-driven alignment of nanofocusing x-r... | a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | deep reinforcement learning for self-tuning laser ...,17.67
1,What are the two main limitations of a well-tuned integrator controller that motivate RL for adaptive optics?,optics,True,"The two main limitations of a well-tuned integrator controller that motivate RL for adaptive optics are:

1. **Limited ability to handle dynamic modeling errors**: Integrator controllers rely on static calibration or synthetic models, which can be affected by pseudo-open-loop reconstruction errors like misregistration or optical gain effect [Laboratory experiments of model-based reinforcement learning for adaptive optics control | 1 Introduction].
2. **Performance limitations induced by photon noise and temporal error**: These factors limit the performance of integrator controllers, even with optimal tuning [Laboratory experiments of model-based reinforcement learning for adaptive optics control | 1 Introduction].",laboratory experiments of model-based reinforcemen... | laboratory experiments of model-based reinforcemen... | laboratory experiments of model-based reinforcemen... | deep reinforcement learning for self-tuning laser ... | laboratory experiments of model-based reinforcemen...,34.61
2,"What batch size (number of points) is chosen for acquisition in FAST, and what practical reason is given?",FAST,True,The batch size chosen for acquisition in FAST is 50 points [Demonstration of an AI-driven workflow for autonomous high-resolution scanning microscopy | Discussion]. The practical reason given for this choice is to ensure that communication time stays negligible and there's no noticeable loss in the quality of points acquired compared to a pointwise candidate selection scheme [Demonstration of an AI-driven workflow for autonomous high-resolution scanning microscopy | Discussion].,demonstration of an ai-driven workflow for autonom... | a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | demonstration of an ai-driven workflow for autonom...,24.14
2,At roughly what scan coverage does reconstruction quality 'stabilize' in FAST (based on SSIM/NRMSE trends)?,FAST,True,"Based on the provided context, I do not know based on the provided context because the retrieved sections do not mention this. Would you like me to find related papers online?",deep reinforcement learning for data-driven adapti... | a general bayesian algorithm for the autonomous al... | demonstration of an ai-driven workflow for autonom... | a general bayesian algorithm for the autonomous al... | demonstration of an ai-driven workflow for autonom...,10.86
2,"If the full grid is 200 x 40, how many points is that total, and how many points correspond to 20% coverage?",FAST,False,"Based on the provided context:

- The total number of points in a full grid of 200 x 40 is **8000** [A general Bayesian algorithm for the autonomous alignment of beamlines | 2].
- For 20% coverage, that corresponds to **1600 points** (20% of 8000) [A general Bayesian algorithm for the autonomous alignment of beamlines | 2].",a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | a general bayesian algorithm for the autonomous al... | the rise of data‐driven microscopy powered by mach... | self-driving laboratories for chemistry and materi...,23.65
2,Which specific workflow design choice is described as the primary contributor to the large time saving in FAST?,FAST,True,The primary contributor to the large time saving in FAST is the choice to acquire a batch of 50 measurements between the selection of prospective measurement points [Demonstration of an AI-driven workflow for autonomous high-resolution scanning microscopy | Discussion].,demonstration of an ai-driven workflow for autonom... | demonstration of an ai-driven workflow for autonom... | autofocus: ai-driven alignment of nanofocusing x-r... | performance metrics to unleash the power of self-d... | autofocus: ai-driven alignment of nanofocusing x-r...,15.03
